Model,Test_Accuracy,Test_F1_Score,Test_ROC_AUC
ResNet101,0.8880000114440918,0.8833338618278503,0.9989050030708313
EfficientNet-B0,0.9059999585151672,0.9016507863998413,0.9986666440963745
DenseNet121,0.9359999895095825,0.9320954084396362,0.9996039867401123
ViT,0.9580000042915344,0.9561926126480103,0.99955153465271
Swin Transformer,0.9279999732971191,0.9274538159370422,0.9995232820510864
ResNet101_Adam_0.001,0.8999999761581421,0.8965973854064941,0.9986626505851746
ResNet101_Adam_0.01,0.8220000267028809,0.8155155181884766,0.9982929825782776
ResNet101_SGD_0.001,0.5479999780654907,0.510678768157959,0.983927309513092
ResNet101_with_add_augmentation,0.8880000114440918,0.8822194337844849,0.9988970160484314
